[2019-11-07 10:49:20,017 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 10:49:20,019 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 10:49:20,020 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 10:50:30,655 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 10:50:30,655 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 10:50:30
[2019-11-07 10:50:30,750 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 10:50:30,751 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 10:50:30,758 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 10:50:30,759 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 10:50:30,760 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 10:51:31,629 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 10:51:31,629 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 10:51:31
[2019-11-07 10:51:31,741 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 10:51:31,742 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 10:51:31,748 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 10:51:31,749 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 10:51:31,750 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:27:52,752 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:27:52,752 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:27:52
[2019-11-07 11:27:52,947 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:27:52,948 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:27:52,954 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:27:52,956 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:27:52,957 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:28:37,823 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:28:37,823 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:28:37
[2019-11-07 11:28:37,925 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:28:37,926 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:28:37,933 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:28:37,934 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:28:37,935 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:29:47,670 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:29:47,670 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:29:47
[2019-11-07 11:29:47,781 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:29:47,782 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:29:47,787 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:29:47,789 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:29:47,790 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:30:14,543 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:30:14,543 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:30:14
[2019-11-07 11:30:14,655 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:30:14,656 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:30:14,662 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:30:14,664 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:30:14,665 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:31:10,902 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:31:10,902 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:31:10
[2019-11-07 11:31:11,007 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:31:11,007 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:31:11,014 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:31:11,015 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:31:11,016 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:32:03,105 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:32:03,106 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:32:03
[2019-11-07 11:32:03,224 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:32:03,224 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:32:03,230 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:32:03,232 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:32:03,233 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:33:55,547 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:33:55,547 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:33:55
[2019-11-07 11:33:55,653 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:33:55,654 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:33:55,660 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:33:55,661 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:33:55,662 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:34:47,062 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:34:47,062 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:34:47
[2019-11-07 11:34:47,164 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
